ID	ACO1	ACO2	ACO3	ACO4	ACO5	AO1	AO2	AO3	AO4	AO5	B1	B2	B3	B4	B5	BO1	BO2	BO3	BO4	BO5	CO1	CO2	CO3	CO4	CO5	nCO1	nCO2	nCO3	nCO4	nCO5
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42639	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42639	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Morganella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10392	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Morganella|s__Morganella_morganii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10392	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Morganella|s__Morganella_morganii|t__GCF_000286435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10392	0.0	0.0	0.0	0.0
k__Eukaryota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.84895	0.14299	0.0599	0.23161	0.39137	0.34774	0.0	0.56277	1.66193	0.0	0.0	0.01707	0.1616	0.02105	0.0	0.0169	0.13283	0.0	0.01129	0.0059
k__Eukaryota|p__Ascomycota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.84895	0.14299	0.0599	0.23161	0.39137	0.34774	0.0	0.56277	1.66193	0.0	0.0	0.01707	0.1616	0.02105	0.0	0.0169	0.13283	0.0	0.01129	0.0059
k__Eukaryota|p__Ascomycota|c__Saccharomycetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.84895	0.14299	0.0599	0.23161	0.39137	0.34774	0.0	0.56277	1.66193	0.0	0.0	0.01707	0.1616	0.02105	0.0	0.0169	0.13283	0.0	0.01129	0.0059
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.84895	0.14299	0.0599	0.23161	0.39137	0.34774	0.0	0.56277	1.66193	0.0	0.0	0.01707	0.1616	0.02105	0.0	0.0169	0.13283	0.0	0.01129	0.0059
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.84895	0.14299	0.0599	0.23161	0.39137	0.34774	0.0	0.56277	1.66193	0.0	0.0	0.01707	0.1616	0.02105	0.0	0.0169	0.13283	0.0	0.01129	0.0059
